Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,MeanSpeed,NE_Time,NE_Distance,NE_AverageSpeed,NW_Time,NW_Distance,NW_AverageSpeed,SE_Time,SE_Distance,SE_AverageSpeed,SW_Time,SW_Distance,SW_LatencyToFirstEntry,SW_AverageSpeed,Island_Entries,Island_NumberExits,Island_Time,Island_DistanceToFirstEntry,Island_LatencyToFirstEntry,Thigmitaxis_Time,Thigmitaxis_Distance,Thigmitaxis_AverageSpeed,Diet,FirstZoneEntered,Sex,Age,Age_months_,Genotype,Age_mastersheet,Sex_mastersheet,Genotype_mastersheet,Diet_mastersheet,Age_handling_mastersheet,Island_HeadTime,SW_Entries,Thigmitaxis_Entries
1,190610_1,APOE44_males,A,Day1,1,MWM_150,6/10/19,54.1,11.929,0.22,0,0,NaN,0.7,0.939,1.26,21.2,4.116,0.194,32.1,6.874,1.9,0.214,3,2,0.9,11.858,52,24.1,5.446,0.226,Control,,,NaN,NaN,,16.2,male,APOE44,Control,NaN,NaN,NaN,NaN
1,190715_1,E3m,B,Day1,1,MWM_150,7/15/19,28.3,6.581,0.233,1.2,0.264,0.226,11.8,3.056,0.258,8.2,1.899,0.233,7.1,1.363,NaN,0.191,1,0,2.1,6.531,26.2,1.3,0.297,0.223,Control,,,NaN,NaN,,16.57,male,APOE33,Control,NaN,NaN,NaN,NaN
1,190909_1,HN_M,B,Day1,1,MWM_150,9/9/19,60,12.248,0.204,0,0,NaN,21.9,4.577,0.209,10.5,2.304,0.219,25,4.826,NaN,0.193,0,0,0,NaN,NaN,33.5,5.989,0.179,Control,,,NaN,NaN,,17.53,male,HN,Control,NaN,NaN,NaN,NaN
1,191028_3,APOE2/2F,A,Day1,1,MWM_150,10/28/19,60,10.569,0.176,3.8,0.622,0.165,2,0.235,0.12,41.3,7.024,0.17,13,2.689,NaN,0.207,0,0,0,NaN,NaN,22,3.138,0.143,Control,,,NaN,NaN,,15.27,female,APOE22,Control,NaN,NaN,NaN,NaN
1,200302_3,APOE22M,B,Day1,1,MWM_150,3/2/20,60,4.405,0.073,23.8,1.5,0.063,0.9,0.125,0.144,18.5,1.411,0.076,16.9,1.369,NaN,0.081,0,0,0,NaN,NaN,15.8,0.672,0.043,Control,,,NaN,NaN,,18.5,male,APOE22,Control,16.06666667,NaN,NaN,NaN
1,200331_1,APOE22F,A,Day1,1,MWM_150,3/31/20,42.7,6.691,0.157,0,0,NaN,6.6,1.248,0.189,10,1.247,0.125,26.1,4.195,NaN,0.161,1,1,0.6,6.291,40.7,34.2,5.136,0.15,Control,,,NaN,NaN,,17.47,female,APOE22,Control,15.96666667,NaN,NaN,NaN
1,201012_1,E4HN_M,D,Day1,1,MWM_150,01/18/0021,60,8.491,0.142,6.4,0.9,0.14,7.2,1.405,0.195,17.3,2.115,0.123,29.1,4.071,0,0.14,0,0,0,NaN,NaN,31.6,3.838,0.121,HFD,SW,,NaN,NaN,,13.57,male,APOE44HN,HFD,11.87,NaN,NaN,NaN
1,201026_1,E4HN_F,C,Day1,1,MWM_150,11/2/20,60,8.669,0.144,0,0,NaN,9.9,1.421,0.144,23.6,3.619,0.153,26.5,3.63,2.8,0.137,0,0,0,NaN,NaN,49.7,6.771,0.136,,,,NaN,NaN,,20.53,female,APOE44HN,Control,18.2,NaN,NaN,NaN
1,210112_1,E4HN_F,D,Day1,1,MWM_150,04/19/0021,11.5,0.463,0.04,0,0,NaN,0,0,NaN,0,0,NaN,11.5,0.463,NaN,0.04,1,0,4.1,0.424,7.4,0,0,NaN,HFD,,,NaN,NaN,,16.43,female,APOE44HN,HFD,12.2,NaN,NaN,NaN
1,210201_1,E33_F,A,Day1,1,MWM_150,2/8/21,60,10.702,0.178,5.4,1.015,0.188,12.9,1.91,0.148,19.2,3.429,0.178,21.7,4.17,0,0.192,0,0,0,NaN,NaN,34.6,5.374,0.155,,SW,,NaN,NaN,,12,female,APOE33,Control,13.2,NaN,NaN,NaN
1,210222_1,E3HN_F,E,Day1,1,MWM_150,3/1/21,60,11.687,0.195,16.1,3.583,0.223,14.1,2.897,0.205,17.1,3.177,0.186,12.7,2.029,0,0.16,0,0,0,NaN,NaN,31,4.909,0.159,,SW,,NaN,NaN,,14.5,female,APOE33HN,Control,11.63333333,NaN,NaN,NaN
1,210503_1,E33_M,C,Day1,1,MWM_150,5/10/21,60,13.459,0.224,9.5,2.204,0.232,11,2.683,0.244,14.6,3.559,0.244,10.6,2.679,0,0.254,0,0,0,NaN,NaN,14.4,2.334,0.162,Control,SW,,NaN,NaN,,20.6,male,APOE33,Control,18.93333333,NaN,NaN,NaN
1,210614_1,E3HN_M,C,Day1,1,MWM_150,6/21/21,4.4,0,0,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,1,0,4.4,0,0,0,0,NaN,HFD,,,NaN,NaN,,15.07,female,APOE22HN,HFD,11.66666667,NaN,NaN,NaN
1,210809_1,E3HN,B,Day1,1,MWM_150,8/16/21,10.3,0.952,0.092,0,0,NaN,0.4,0.074,0.202,0,0,NaN,9.9,0.878,0,0.088,1,0,4,0.843,6.3,0,0,NaN,Control,,F,11.8,NaN,,NaN,female,APOE33HN,Control,11.8,NaN,NaN,NaN
